timestamp,value,total
2025-02-04,1200,3
2025-02-05,1203,3
2025-02-06,1206,3
2025-02-07,1209,3
2025-02-08,1212,3
2025-02-09,1215,3
2025-02-10,1218,3
2025-02-11,1221,3
2025-02-12,1224,3
2025-02-13,1227,3
2025-02-14,1230,2.9999999999999996
2025-02-15,1233,3.0
2025-02-16,1236,3.0
2025-02-17,1239,3.0
2025-02-18,1242,3.0
2025-02-19,1245,3.0
2025-02-20,1248,3.0
2025-02-21,1251,3.0
2025-02-22,1254,2.9999999999999996
2025-02-23,1257,3.0
2025-02-24,1260,3.0
2025-02-25,1263,3.0
2025-02-26,1266,2.9999999999999996
2025-02-27,1269,3.0
2025-02-28,1272,3.0
2025-03-01,1275,3.0000000000000004
2025-03-02,1278,3.0
2025-03-03,1281,3.0
2025-03-04,1284,3.0
2025-03-05,1287,3.0
2025-03-06,1290,3.0
2025-03-07,1293,3.0
2025-03-08,1296,3.0
2025-03-09,1299,3.0
2025-03-10,1302,3.0
2025-03-11,1305,3.0
2025-03-12,1308,3.0
2025-03-13,1311,3.0
2025-03-14,1314,3.0
2025-03-15,1317,3.0
2025-03-16,1320,3.0
2025-03-17,1323,3.0
2025-03-18,1326,3.0
2025-03-19,1329,3.0
2025-03-20,1332,3.0
2025-03-21,1335,3.0
2025-03-22,1338,2.9999999999999996
2025-03-23,1341,2.9999999999999996
2025-03-24,1344,2.9999999999999996
2025-03-25,1347,3.0
2025-03-26,1350,3.0000000000000004
2025-03-27,1353,3.000000000000001
2025-03-28,1356,3.0
2025-03-29,1359,3.0
2025-03-30,1362,3.0
2025-03-31,1365,3.000000000000001
2025-04-01,1368,2.9999999999999996
2025-04-02,1371,3.0
2025-04-03,1374,3.0
2025-04-04,1377,3.0
2025-04-05,1380,3.000000000000001
2025-04-06,1383,3.0
2025-04-07,1386,3.0
2025-04-08,1389,3.0
2025-04-09,1392,3.0000000000000004
2025-04-10,1395,3.0
2025-04-11,1398,3.0
2025-04-12,1401,3.000000000000001
2025-04-13,1404,3.000000000000001
2025-04-14,1407,3.0
2025-04-15,1410,3.000000000000001
2025-04-16,1413,3.0
2025-04-17,1416,3.0
2025-04-18,1419,3.0
2025-04-19,1422,3.0
2025-04-20,1425,2.9999999999999996
2025-04-21,1428,3.0
2025-04-22,1431,2.9999999999999996
2025-04-23,1434,3.000000000000001
2025-04-24,1437,3.0
2025-04-25,1440,3.0000000000000004
2025-04-26,1443,3.000000000000001
2025-04-27,1446,3.000000000000001
2025-04-28,1449,3.0
2025-04-29,1452,3.0
2025-04-30,1455,2.9999999999999996
2025-05-01,1458,3.000000000000001
2025-05-02,1461,3.0
2025-05-03,1464,3.0
2025-05-04,1467,2.9999999999999996
2025-05-05,1470,3.0
2025-05-06,1473,2.999999999999999
2025-05-07,1476,3.0000000000000018
2025-05-08,1479,2.9999999999999996
2025-05-09,1482,3.0000000000000004
2025-05-10,1485,3.0
2025-05-11,1488,3.0000000000000004
2025-05-12,1491,3.0000000000000004
2025-05-13,1494,3.000000000000001
2025-05-14,1497,2.9999999999999996
2025-05-15,1500,3.0000000000000004
2025-05-16,1503,3.0
2025-05-17,1506,3.0
2025-05-18,1509,3.0
2025-05-19,1512,3.0000000000000004
2025-05-20,1515,3.0000000000000004
2025-05-21,1518,3.000000000000001
2025-05-22,1521,3.0
2025-05-23,1524,2.999999999999999
2025-05-24,1527,3.0
2025-05-25,1530,3.0
2025-05-26,1533,3.0000000000000004
2025-05-27,1536,3.0
2025-05-28,1539,3.0
2025-05-29,1542,3.0000000000000004
2025-05-30,1545,3.000000000000001
2025-05-31,1548,3.0
2025-06-01,1551,3.0
2025-06-02,1554,3.0
2025-06-03,1557,3.000000000000001
2025-06-04,1560,3.0
2025-06-05,1563,3.0000000000000004
2025-06-06,1566,3.0000000000000004
2025-06-07,1569,3.000000000000001
2025-06-08,1572,3.0
2025-06-09,1575,3.000000000000001
2025-06-10,1578,3.0000000000000004
2025-06-11,1581,3.0
2025-06-12,1584,3.000000000000001
2025-06-13,1587,3.0
2025-06-14,1590,3.0
2025-06-15,1593,3.0
2025-06-16,1596,3.0
2025-06-17,1599,3.000000000000001
2025-06-18,1602,3.0
2025-06-19,1605,3.0
2025-06-20,1608,3.0
2025-06-21,1611,3.0000000000000004
2025-06-22,1614,3.0000000000000004
2025-06-23,1617,3.0
2025-06-24,1620,3.0
2025-06-25,1623,3.0
2025-06-26,1626,3.000000000000001
2025-06-27,1629,3.0
2025-06-28,1632,2.9999999999999996
2025-06-29,1635,3.0000000000000018
2025-06-30,1638,3.0000000000000013
2025-07-01,1641,3.0000000000000013
2025-07-02,1644,3.0
2025-07-03,1647,3.0000000000000004
2025-07-04,1650,3.000000000000001
2025-07-05,1653,3.0000000000000004
2025-07-06,1656,2.9999999999999996
2025-07-07,1659,3.0000000000000004
2025-07-08,1662,3.000000000000001
2025-07-09,1665,3.0
2025-07-10,1668,3.0000000000000004
2025-07-11,1671,3.000000000000001
2025-07-12,1674,3.000000000000001
2025-07-13,1677,3.0
2025-07-14,1680,3.0000000000000013
2025-07-15,1683,3.0
2025-07-16,1686,2.9999999999999996
2025-07-17,1689,3.000000000000001
2025-07-18,1692,3.0
2025-07-19,1695,3.0000000000000013
2025-07-20,1698,3.000000000000001
2025-07-21,1701,3.0000000000000004
2025-07-22,1704,3.000000000000001
2025-07-23,1707,2.9999999999999996
2025-07-24,1710,2.9999999999999996
2025-07-25,1713,2.999999999999999
2025-07-26,1716,3.0000000000000004
2025-07-27,1719,3.000000000000001
2025-07-28,1722,3.000000000000001
2025-07-29,1725,3.0
2025-07-30,1728,3.0000000000000004
2025-07-31,1731,3.0
2025-08-01,1734,3.0
2025-08-02,1737,3.0000000000000018
2025-08-03,1740,2.999999999999999
2025-08-04,1743,3.0
2025-08-05,1746,3.0
2025-08-06,1749,3.0
2025-08-07,1752,3.0000000000000004
2025-08-08,1755,3.000000000000002
2025-08-09,1758,3.0
2025-08-10,1761,3.0
2025-08-11,1764,3.0000000000000013
2025-08-12,1767,3.0000000000000004
2025-08-13,1770,3.0
2025-08-14,1773,3.0
2025-08-15,1776,3.0000000000000004
2025-08-16,1779,3.0
2025-08-17,1782,3.0000000000000013
2025-08-18,1785,2.999999999999998
2025-08-19,1788,3.0
2025-08-20,1791,3.000000000000001
2025-08-21,1794,3.0000000000000004
2025-08-22,1797,3.0000000000000013
2025-08-23,1800,3.0
2025-08-24,1803,2.9999999999999996
2025-08-25,1806,3.0000000000000004
2025-08-26,1809,3.000000000000001
2025-08-27,1812,3.000000000000001
2025-08-28,1815,3.0
2025-08-29,1818,3.000000000000001
2025-08-30,1821,3.0000000000000004
2025-08-31,1824,3.0000000000000004
2025-09-01,1827,3.000000000000002
2025-09-02,1830,3.0000000000000018
2025-09-03,1833,3.0
2025-09-04,1836,3.0000000000000004
2025-09-05,1839,3.000000000000001
2025-09-06,1842,3.0000000000000004
2025-09-07,1845,3.0000000000000013
2025-09-08,1848,3.0
2025-09-09,1851,2.9999999999999982
2025-09-10,1854,3.0000000000000004
2025-09-11,1857,3.0
2025-09-12,1860,3.0
2025-09-13,1863,3.0
2025-09-14,1866,3.0
2025-09-15,1869,3.0000000000000036
2025-09-16,1872,3.0000000000000013
2025-09-17,1875,3.0
2025-09-18,1878,3.0
2025-09-19,1881,2.999999999999999
2025-09-20,1884,3.0
2025-09-21,1887,3.000000000000001
